Date and Time,Wind Speed (m/s),Wind Dir (Deg),Total Precipitation (mm),WQ Temp (°C),pH,Turbidity (NTU),TDS (g/L),Chl(ug/l),TSS (mg/L),BGA (mg/L),Dissolved Oxygen (mg/L),Sal (psu),Rel.Hum (%),Air Temp (°C)
15-11-2019 00:00,0.5,120,0,27.59,8.13,1.22,0,0.89,0,1.85,5.04,25.19,91,26.1
15-11-2019 00:10,0.4,145,0,27.55,8.1,1.23,0,0.99,0,2.07,5.034,25.19,90,26.1
15-11-2019 00:20,0.5,123,0,27.5,8.09,1.2,0,1.03,0,1.9,5.053,25.19,89,26.1
15-11-2019 00:30,0.6,77,0,27.43,8.09,1.2,0,0.89,0,1.83,5.069,25.19,90,26
15-11-2019 00:40,0.6,62,0,27.36,8.11,1.16,0,1,0,2.01,5.068,25.19,91,25.7
15-11-2019 00:50,1.1,72,0,27.1,8.12,1.16,0,0.99,0,1.96,5.049,25.19,92,25.2
15-11-2019 01:00,0.3,239,0,26.74,8.13,1.16,0,0.9,0,1.86,5.066,25.19,93,25
15-11-2019 01:10,0.6,82,0,26.46,8.13,1.13,0,1.01,0,1.89,5.046,25.19,95,24.9
15-11-2019 01:20,0.3,108,0,26.27,8.14,1.18,0,0.99,0,1.99,5.036,25.19,95,24.8
15-11-2019 01:30,0.3,110,0,26.16,8.14,1.16,0,1.08,0,2.25,5.031,25.19,95,24.7
15-11-2019 01:40,0.3,90,0,26.04,8.15,1.16,0,1.01,0,2.29,5.045,25.19,95,24.7
15-11-2019 01:50,0.3,127,0,25.97,8.19,1.18,0,0.99,0,2.11,5.026,25.19,95,24.8
15-11-2019 02:00,0.3,85,0,25.92,8.19,1.14,0,1.02,0,2.02,5.052,25.19,95,24.8
15-11-2019 02:10,0.1,253,0,25.88,8.18,1.15,0,1.06,0,2.17,5.052,25.19,95,24.9
15-11-2019 02:20,0.1,180,0,25.85,8.19,1.1,0,1.18,0,1.98,5.064,25.19,95,25
15-11-2019 02:30,0.2,180,0,25.84,8.2,1.08,0,0.95,0,1.96,5.077,25.19,95,24.9
