Date and Time,Wind Speed (m/s),Wind Dir (Deg),precipitation,water_temp,ph,turbidity,tds,Chl(ug/l),tss,BGA (mg/L),do,salinity,Rel.Hum (%),air_temp,Year,Month
2022-01-01 00:00:00,8.39,220.0,22.4,26.93,8.43,10.56,27.05,1.24,0.0,3.34,5.61,26.63,88.0,27.3,2022,1
2022-01-01 00:10:00,8.39,238.0,22.4,26.92,8.43,10.4,27.08,1.25,0.0,3.65,5.61,26.66,88.0,27.3,2022,1
2022-01-01 00:20:00,7.89,226.0,22.4,26.93,8.43,10.31,27.09,1.41,0.0,3.62,5.57,26.67,88.0,27.3,2022,1
2022-01-01 00:30:00,9.45,264.0,22.4,26.93,8.43,10.45,27.17,1.34,0.0,3.35,5.57,26.76,88.0,27.2,2022,1
2022-01-01 00:40:00,7.65,236.0,22.4,26.91,8.43,10.29,27.05,1.4,0.0,3.58,5.58,26.62,88.0,27.2,2022,1
2022-01-01 00:50:00,6.96,189.0,22.4,26.92,8.43,11.0,27.04,1.34,0.0,3.56,5.54,26.62,90.0,27.3,2022,1
2022-01-01 01:00:00,8.44,260.0,22.4,26.92,8.43,10.52,27.05,1.34,0.0,3.74,5.58,26.63,90.0,27.1,2022,1
2022-01-01 01:10:00,8.31,222.0,22.4,26.91,8.43,10.55,27.02,1.39,0.0,3.63,5.58,26.59,90.0,27.0,2022,1
2022-01-01 01:20:00,8.92,258.0,22.4,26.91,8.43,9.95,27.14,1.34,0.0,3.6,5.58,26.72,90.0,26.9,2022,1
2022-01-01 01:30:00,6.71,265.0,22.4,26.9,8.43,10.2,27.06,1.37,0.0,3.64,5.61,26.64,91.0,27.1,2022,1
2022-01-01 01:40:00,9.45,256.0,22.4,26.89,8.43,11.23,27.13,1.33,0.0,3.62,5.6,26.72,90.0,26.9,2022,1
2022-01-01 01:50:00,7.54,209.0,22.4,26.88,8.43,10.76,27.08,1.35,0.0,3.45,5.52,26.66,89.0,27.2,2022,1
2022-01-01 02:00:00,8.97,261.0,22.4,26.89,8.43,10.81,27.1,1.41,0.0,3.73,5.51,26.68,87.0,27.1,2022,1
2022-01-01 02:10:00,8.43,255.0,22.4,26.88,8.44,12.09,27.01,1.4,0.0,3.57,5.56,26.59,88.0,27.2,2022,1
2022-01-01 02:20:00,8.94,65.0,22.4,26.87,8.43,11.46,27.03,1.34,0.0,3.52,5.48,26.61,88.0,27.1,2022,1
2022-01-01 02:30:00,8.85,177.0,22.4,26.87,8.44,10.78,27.1,1.25,0.0,3.24,5.64,26.68,87.0,27.1,2022,1
2022-01-01 02:40:00,7.49,190.0,22.4,26.87,8.43,11.45,27.18,1.31,0.0,3.19,5.64,26.77,87.0,27.0,2022,1
2022-01-01 02:50:00,6.74,255.0,22.4,26.86,8.44,11.36,27.19,1.29,0.0,3.06,5.6,26.78,88.0,27.2,2022,1
2022-01-01 03:00:00,10.19,222.0,22.4,26.86,8.43,11.54,27.11,1.33,0.0,3.56,5.62,26.69,89.0,27.0,2022,1
2022-01-01 03:10:00,8.88,240.0,22.4,26.84,8.44,11.55,27.27,1.24,0.0,3.13,5.63,26.87,88.0,27.0,2022,1
2022-01-01 03:20:00,6.97,241.0,22.4,26.84,8.43,11.45,27.18,1.42,0.0,3.41,5.6,26.78,88.0,27.2,2022,1
2022-01-01 03:30:00,8.7,208.0,22.4,26.84,8.44,11.63,27.11,1.29,0.0,3.01,5.64,26.7,88.0,27.1,2022,1
2022-01-01 03:40:00,10.56,93.0,22.4,26.85,8.43,12.21,27.12,1.18,0.0,3.4,5.62,26.71,87.0,27.0,2022,1
2022-01-01 03:50:00,9.19,74.0,22.4,26.83,8.44,10.97,27.14,1.29,0.0,3.26,5.63,26.73,87.0,27.0,2022,1
2022-01-01 04:00:00,7.31,52.0,22.4,26.84,8.44,11.81,27.27,1.33,0.0,3.38,5.68,26.87,86.0,27.0,2022,1
2022-01-01 04:10:00,9.65,206.0,22.4,26.84,8.44,11.74,27.19,1.27,0.0,3.06,5.57,26.78,87.0,27.0,2022,1
2022-01-01 04:20:00,10.16,232.0,22.4,26.83,8.44,11.25,27.16,1.1,0.0,2.91,5.58,26.75,88.0,26.9,2022,1
2022-01-01 04:30:00,7.98,234.0,22.4,26.83,8.44,10.71,27.3,1.12,0.0,3.05,5.55,26.9,89.0,27.0,2022,1
2022-01-01 04:40:00,9.06,225.0,22.4,26.83,8.44,11.54,27.19,1.38,0.0,3.26,5.6,26.79,89.0,26.9,2022,1
2022-01-01 04:50:00,8.0,241.0,22.4,26.82,8.44,10.85,27.26,1.16,0.0,3.02,5.57,26.86,88.0,27.0,2022,1
2022-01-01 05:00:00,7.17,175.0,22.4,26.8,8.44,10.34,27.2,1.25,0.0,2.93,5.64,26.79,89.0,27.0,2022,1
2022-01-01 05:10:00,10.72,217.0,22.4,26.8,8.44,10.1,27.29,1.15,0.0,3.01,5.64,26.9,88.0,26.9,2022,1
2022-01-01 05:20:00,9.5,203.0,22.4,26.8,8.44,10.5,27.31,1.21,0.0,3.2,5.69,26.92,87.0,26.8,2022,1
2022-01-01 05:30:00,8.36,215.0,22.4,26.81,8.44,11.05,27.33,1.19,0.0,3.01,5.67,26.94,88.0,27.1,2022,1
2022-01-01 05:40:00,9.44,243.0,22.4,26.8,8.44,10.82,27.3,1.2,0.0,3.12,5.68,26.91,88.0,27.0,2022,1
2022-01-01 05:50:00,9.07,215.0,0.0,26.79,8.44,10.76,27.18,1.05,0.0,2.85,5.66,26.78,87.0,27.0,2022,1
2022-01-01 06:00:00,9.94,219.0,0.0,26.8,8.44,11.39,27.32,1.11,0.0,3.18,5.71,26.93,88.0,26.9,2022,1
2022-01-01 06:10:00,9.07,224.0,0.0,26.79,8.44,10.88,27.34,1.19,0.0,3.05,5.7,26.94,87.0,26.8,2022,1
2022-01-01 06:20:00,8.03,208.0,0.0,26.78,8.44,10.42,27.18,1.13,0.0,2.97,5.67,26.77,87.0,26.9,2022,1
2022-01-01 06:30:00,9.42,236.0,0.0,26.79,8.44,10.01,27.16,1.24,0.0,3.18,5.67,26.76,88.0,26.9,2022,1
2022-01-01 06:40:00,8.15,223.0,0.16,26.8,8.44,11.73,27.16,1.16,0.0,3.0,5.68,26.75,91.0,26.5,2022,1
2022-01-01 06:50:00,9.45,237.0,0.16,26.8,8.43,11.22,27.15,1.17,0.0,2.87,5.67,26.74,91.0,26.6,2022,1
2022-01-01 07:00:00,6.83,248.0,0.16,26.8,8.44,12.55,27.19,1.26,0.0,3.5,5.64,26.78,93.0,26.2,2022,1
2022-01-01 07:10:00,7.08,204.0,0.16,26.81,8.44,11.59,27.18,1.16,0.0,2.93,5.66,26.77,94.0,26.4,2022,1
2022-01-01 07:20:00,8.68,234.0,0.16,26.81,8.44,11.33,27.15,1.14,0.0,3.13,5.55,26.74,90.0,26.7,2022,1
2022-01-01 07:30:00,9.74,38.0,0.16,26.8,8.44,11.12,27.24,1.12,0.0,2.86,5.61,26.84,88.0,26.9,2022,1
2022-01-01 07:40:00,10.74,89.0,0.16,26.8,8.44,11.64,27.27,1.27,0.0,3.29,5.65,26.87,87.0,27.0,2022,1
2022-01-01 07:50:00,8.71,8.0,0.16,26.8,8.44,10.84,27.26,1.19,0.0,3.26,5.68,26.86,87.0,27.2,2022,1
2022-01-01 08:00:00,6.91,8.0,0.16,26.81,8.44,11.38,27.26,1.14,0.0,2.97,5.66,26.86,86.0,27.1,2022,1
2022-01-01 08:10:00,9.62,110.0,0.16,26.81,8.44,10.99,27.29,1.13,0.0,3.06,5.65,26.89,86.0,27.2,2022,1
2022-01-01 08:20:00,6.72,316.0,0.16,26.82,8.44,11.9,27.27,1.12,0.0,3.01,5.63,26.87,88.0,27.2,2022,1
2022-01-01 08:30:00,9.49,24.0,0.16,26.83,8.44,13.69,27.14,1.21,0.0,3.19,5.63,26.73,87.0,27.2,2022,1
